,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,Tulum,20.2167,-87.4667,82.4,69,40,12.66,MX,1614554796
329,Saldanha,-33.0117,17.9442,59.0,88,24,8.05,ZA,1614555021
330,Manjeshwar,12.7194,74.8861,78.8,83,20,4.76,IN,1614555021
331,Santa Marta,11.2408,-74.199,89.6,40,20,21.85,CO,1614555003
332,Vostochnyy,55.8167,37.8667,30.2,93,90,2.24,RU,1614555022
333,Ulkan,57.243,107.3223,-9.47,87,100,3.24,RU,1614555022
334,Rio Grande,-32.035,-52.0986,75.99,79,2,3.0,BR,1614554939
335,Bariloche,-41.1456,-71.3082,73.4,33,40,16.11,AR,1614555022
336,Sosnovo-Ozerskoye,52.5249,111.5418,-18.26,88,65,3.53,RU,1614555023
337,Vao,-22.6667,167.4833,78.4,74,13,13.13,NC,1614555023
338,Weatherford,32.7593,-97.7972,54.0,69,100,4.0,US,1614555024
339,Jedburgh,55.48,-2.552,39.0,93,3,0.76,GB,1614555024
340,Praia da Vitória,38.7333,-27.0667,54.0,94,75,7.14,PT,1614555024
341,Bathsheba,13.2167,-59.5167,77.0,61,20,19.57,BB,1614555025
342,Prince Rupert,54.3161,-130.3201,37.4,93,90,9.22,CA,1614555009
343,Yulara,-25.2406,130.9889,82.4,23,41,3.44,AU,1614555025
344,Krasnosel'kup,65.7,82.4667,-30.1,83,35,8.08,RU,1614555026
345,Chlórakas,34.8042,32.4083,50.0,87,40,6.91,CY,1614555026
346,Bichura,50.5881,107.6022,-9.62,83,44,2.15,RU,1614555026
347,Sokolo,14.7328,-6.1219,77.25,16,42,8.52,ML,1614555027
348,Zhangye,38.9342,100.4517,25.48,84,56,5.57,CN,1614555027
349,Avera,33.194,-82.5271,77.0,57,1,8.05,US,1614555027
350,Alekseyevsk,57.8406,108.3492,-11.07,98,100,3.44,RU,1614555027
351,Honiara,-9.4333,159.95,79.48,84,100,6.31,SB,1614555028
